leaf_size,metric,n_neighbors,weights,f1_macro_score,loss
5,<function bhattacharyya_distance at 0x0000022CE0295AB0>,7,uniform,0.7496962242531616,0.2503037757468384
5,<function bhattacharyya_distance at 0x0000022CE0295AB0>,7,distance,0.7582583268074726,0.24174167319252737
5,<function bhattacharyya_distance at 0x0000022CE0295AB0>,10,uniform,0.7419622374979994,0.2580377625020006
5,<function bhattacharyya_distance at 0x0000022CE0295AB0>,10,distance,0.7622067894826673,0.2377932105173327
5,<function intersection_distance at 0x0000022CE02953F0>,3,uniform,0.7068730930335502,0.29312690696644983
5,<function intersection_distance at 0x0000022CE02953F0>,3,distance,0.07564474885304595,0.924355251146954
5,<function intersection_distance at 0x0000022CE02953F0>,4,uniform,0.7001041049426249,0.29989589505737513
5,<function intersection_distance at 0x0000022CE02953F0>,4,distance,0.07564474885304595,0.924355251146954
5,<function intersection_distance at 0x0000022CE02953F0>,5,uniform,0.7071327110154146,0.29286728898458536
5,<function intersection_distance at 0x0000022CE02953F0>,5,distance,0.07564474885304595,0.924355251146954
5,<function intersection_distance at 0x0000022CE02953F0>,6,uniform,0.6939082783974481,0.30609172160255194
5,<function intersection_distance at 0x0000022CE02953F0>,6,distance,0.07564474885304595,0.924355251146954
5,<function intersection_distance at 0x0000022CE02953F0>,7,uniform,0.6905585470175223,0.3094414529824777
5,<function intersection_distance at 0x0000022CE02953F0>,7,distance,0.07564474885304595,0.924355251146954
5,<function intersection_distance at 0x0000022CE02953F0>,10,uniform,0.6833604467222676,0.3166395532777324
5,<function intersection_distance at 0x0000022CE02953F0>,10,distance,0.07564474885304595,0.924355251146954
10,<function cityblock at 0x0000022CDC95A5F0>,3,uniform,0.8337173143340376,0.16628268566596238
10,<function cityblock at 0x0000022CDC95A5F0>,3,distance,0.8413170505761528,0.1586829494238472
10,<function cityblock at 0x0000022CDC95A5F0>,4,uniform,0.8073699896882838,0.19263001031171623
10,<function cityblock at 0x0000022CDC95A5F0>,4,distance,0.843789809652673,0.15621019034732697
10,<function cityblock at 0x0000022CDC95A5F0>,5,uniform,0.8111331880568237,0.18886681194317634
10,<function cityblock at 0x0000022CDC95A5F0>,5,distance,0.8310453374395145,0.16895466256048552
10,<function cityblock at 0x0000022CDC95A5F0>,6,uniform,0.8045365851622904,0.19546341483770957
10,<function cityblock at 0x0000022CDC95A5F0>,6,distance,0.8281097554476452,0.1718902445523548
10,<function cityblock at 0x0000022CDC95A5F0>,7,uniform,0.8027977404524153,0.19720225954758475
10,<function cityblock at 0x0000022CDC95A5F0>,7,distance,0.819912205566952,0.180087794433048
10,<function cityblock at 0x0000022CDC95A5F0>,10,uniform,0.7783323748966074,0.22166762510339255
10,<function cityblock at 0x0000022CDC95A5F0>,10,distance,0.8130126790970826,0.18698732090291736
10,<function cosine at 0x0000022CDC95A320>,3,uniform,0.8059483793780783,0.19405162062192172
10,<function cosine at 0x0000022CDC95A320>,3,distance,0.8225170664146889,0.1774829335853111
10,<function cosine at 0x0000022CDC95A320>,4,uniform,0.7773701244958304,0.22262987550416957
10,<function cosine at 0x0000022CDC95A320>,4,distance,0.8206689178080518,0.17933108219194815
10,<function cosine at 0x0000022CDC95A320>,5,uniform,0.7896404901216978,0.2103595098783022
10,<function cosine at 0x0000022CDC95A320>,5,distance,0.81806088527146,0.18193911472853996
10,<function cosine at 0x0000022CDC95A320>,6,uniform,0.7736379272319156,0.2263620727680844
10,<function cosine at 0x0000022CDC95A320>,6,distance,0.8201596011969694,0.1798403988030306
10,<function cosine at 0x0000022CDC95A320>,7,uniform,0.7746373614166776,0.2253626385833224
10,<function cosine at 0x0000022CDC95A320>,7,distance,0.8026960561661866,0.19730394383381344
10,<function cosine at 0x0000022CDC95A320>,10,uniform,0.7642019683751006,0.23579803162489943
10,<function cosine at 0x0000022CDC95A320>,10,distance,0.7906305660257327,0.20936943397426733
10,<function sqeuclidean at 0x0000022CDC95A200>,3,uniform,0.8014578569537484,0.19854214304625162
10,<function sqeuclidean at 0x0000022CDC95A200>,3,distance,0.8174907368257393,0.18250926317426075
10,<function sqeuclidean at 0x0000022CDC95A200>,4,uniform,0.775896714492466,0.224103285507534
